id,country_id,state_name,state_code,state_initial,active,reason
665,82,Western,0,,1,NULL
667,86,Conakry,0,,1,NULL
668,87,Basse-Terre,0,,1,NULL
669,87,Grande-Terre,0,,1,NULL
670,85,Banjul,0,,1,NULL
671,85,Kombo St Mary,0,,1,NULL
672,93,Bissau,0,,1,NULL
673,88,Bioko,0,,1,NULL
674,89,Attika,0,,1,NULL
675,89,Central Macedonia,0,,1,NULL
676,89,Crete,0,,1,NULL
677,89,Thessalia,0,,1,NULL
678,89,West Greece,0,,1,NULL
679,78,St George,0,,1,NULL
680,84,Kitaa,0,,1,NULL
681,91,Guatemala,0,,1,NULL
682,91,Quetzaltenango,0,,1,NULL
683,80,Cayenne,0,,1,NULL
685,94,Georgetown,0,,1,NULL
686,95,Hongkong,0,,1,NULL
687,95,Kowloon and New Kowl,0,,1,NULL
690,97,Distrito Central,0,,1,NULL
691,98,Grad Zagreb,0,,1,NULL
692,98,Osijek-Baranja,0,,1,NULL
693,98,Primorje-Gorski Kota,0,,1,NULL
694,98,Split-Dalmatia,0,,1,NULL
695,99,Nord,0,,1,NULL
696,99,Ouest,0,,1,NULL
700,100,Budapest,0,,1,NULL
706,101,Aceh,0,,1,NULL
707,101,Bali,0,,1,NULL
708,101,Bengkulu,0,,1,NULL
709,101,Central Java,0,,1,NULL
710,101,East Java,0,,1,NULL
711,101,Jakarta Raya,0,,1,NULL
712,101,Jambi,0,,1,NULL
713,101,Kalimantan Barat,0,,1,NULL
714,101,Kalimantan Selatan,0,,1,NULL
715,101,Kalimantan Tengah,0,,1,NULL
716,101,Kalimantan Timur,0,,1,NULL
717,101,Lampung,0,,1,NULL
718,101,Molukit,0,,1,NULL
719,101,Nusa Tenggara Barat,0,,1,NULL
720,101,Nusa Tenggara Timur,0,,1,NULL
721,101,Riau,0,,1,NULL
722,101,Sulawesi Selatan,0,,1,NULL
723,101,Sulawesi Tengah,0,,1,NULL
724,101,Sulawesi Tenggara,0,,1,NULL
725,101,Sulawesi Utara,0,,1,NULL
726,101,Sumatera Barat,0,,1,NULL
727,101,Sumatera Selatan,0,,1,NULL
728,101,Sumatera Utara,0,,1,NULL
729,101,West Irian,0,,1,NULL
730,101,West Java,0,,1,NULL
731,101,Yogyakarta,0,,1,NULL
758,102,Leinster,0,,1,NULL
759,102,Munster,0,,1,NULL
760,108,Ardebil,0,,1,NULL
761,108,Bushehr,0,,1,NULL
762,108,Chaharmahal va Bakht,0,,1,NULL
763,108,East Azerbaidzan,0,,1,NULL
764,108,Esfahan,0,,1,NULL
765,108,Fars,0,,1,NULL
766,108,Gilan,0,,1,NULL
767,108,Golestan,0,,1,NULL
768,108,Hamadan,0,,1,NULL
769,108,Hormozgan,0,,1,NULL
770,108,Ilam,0,,1,NULL
771,108,Kerman,0,,1,NULL
772,108,Kermanshah,0,,1,NULL
773,108,Khorasan,0,,1,NULL
774,108,Khuzestan,0,,1,NULL
775,108,Kordestan,0,,1,NULL
776,108,Lorestan,0,,1,NULL
777,108,Markazi,0,,1,NULL
778,108,Mazandaran,0,,1,NULL
779,108,Qazvin,0,,1,NULL
780,108,Qom,0,,1,NULL
781,108,Semnan,0,,1,NULL
782,108,Sistan va Baluchesta,0,,1,NULL
783,108,Teheran,0,,1,NULL
784,108,West Azerbaidzan,0,,1,NULL
785,108,Yazd,0,,1,NULL
786,108,Zanjan,0,,1,NULL
787,107,al-Anbar,0,,1,NULL
788,107,al-Najaf,0,,1,NULL
789,107,al-Qadisiya,0,,1,NULL
790,107,al-Sulaymaniya,0,,1,NULL
791,107,al-Tamim,0,,1,NULL
792,107,Babil,0,,1,NULL
793,107,Baghdad,0,,1,NULL
794,107,Basra,0,,1,NULL
795,107,DhiQar,0,,1,NULL
796,107,Diyala,0,,1,NULL
797,107,Irbil,0,,1,NULL
798,107,Karbala,0,,1,NULL
799,107,Maysan,0,,1,NULL
800,107,Ninawa,0,,1,NULL
801,107,Wasit,0,,1,NULL
803,103,Ha Darom,0,,1,NULL
804,103,Ha Merkaz,0,,1,NULL
805,103,Haifa,0,,1,NULL
806,103,Jerusalem,0,,1,NULL
807,103,Tel Aviv,0,,1,NULL
808,110,Abruzzit,0,,1,NULL
809,110,Apulia,0,,1,NULL
810,110,Calabria,0,,1,NULL
811,110,Campania,0,,1,NULL
812,110,Emilia-Romagna,0,,1,NULL
813,110,Friuli-Venezia Giuli,0,,1,NULL
814,110,Latium,0,,1,NULL
815,110,Liguria,0,,1,NULL
816,110,Lombardia,0,,1,NULL
817,110,Marche,0,,1,NULL
818,110,Piemonte,0,,1,NULL
819,110,Sardinia,0,,1,NULL
820,110,Sisilia,0,,1,NULL
821,110,Toscana,0,,1,NULL
822,110,Trentino-Alto Adige,0,,1,NULL
